Qty,Value,Device,Package,Parts,Description,Unit Price x1,Unit Price x10,Unit Price x100,Unit Price x1000,Website
1,3p2t,255SB,255SB,S1,SLIDING SWITCH,,$0.60 ,$0.50 ,$0.38 ,https://www.digikey.com/en/products/detail/c-k/SS-12D07-VG-4-NS-GA-PA/2747177
4,1M,R-US_0411/15,0411/15,"R1, R3, R6, R8","RESISTOR, American symbol",,,,,
1,2040002-1,2040002-1,TE_2040002-1,J1,Conn USB Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R Check prices,,US$0.055331,US$0.040337,US$0.034829,https://lcsc.com/product-detail/USB-Connectors_Jing-Extension-of-the-Electronic-Co-C77238_C77238.html
1,ATMEGA328PB-AU,ATMEGA328PB-AU,QFP80P900X900X120-32N,U1,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32,,US$1.35,US$1.181667,US$1.126667,https://lcsc.com/product-detail/MICROCHIP_MICROCHIP_ATMEGA328PB-AU_ATMEGA328PB-AU_C132230.html
1,AVR-ISP,AVR-ISP,AVR-ISP,U$1,Check prices,,$0.95 ,$0.95 ,$0.95 ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1465/5353649
1,OLED_DD-9664FC-2AFLAT,OLED_DD-9664FC-2AFLAT,OLEDDISPLAY9664,OLED1,Densitron Display DD-9664FS-2A,,,,,
,,,,,,,,,,
2,10k,Resitor,,,,,US$0.061805,US$0.057873,US$0.047468,https://lcsc.com/product-detail/Metal-Film-Resistor-TH_10KR-1002-1_C202434.html
3,1.5k,Resitor,,,,,US$0.005888,US$0.004347,US$0.004064,https://lcsc.com/product-detail/Metal-Film-Resistor-TH_UNI-ROYAL-Uniroyal-Elec-MFR0W4F1501A50_C58620.html
1,100k ,Resitor,,,,,US$0.006654,US$0.006654,US$0.004921,https://lcsc.com/product-detail/Metal-Film-Resistor-TH_TA-I-Tech-RN16T29532F_C172602.html
2,22k,Resistor,,,,,US$0.007975,US$0.007975,US$0.00551,https://lcsc.com/product-detail/Metal-Film-Resistor-TH_TyoHM-RN-1-4W-22K-F-T-B-A1_C410655.html
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
